statusId | label
29|Sit
30|Sit (phone)
31|Walk
32|Walk (phone)
statusId|sensorName|value|timestamp
29|AK09918C|[0.05999756,-30.0,-11.699997]|1689110348788
29|AK09918C|[-0.05999756,-29.87999,-11.579987]|1689110348808
29|AK09918C|[0.47999573,-29.939987,-11.699997]|1689110348828
29|AK09918C|[0.2999878,-29.579987,-11.639999]|1689110348848
29|AK09918C|[0.41999817,-29.699997,-11.699997]|1689110348868
29|AK09918C|[0.47999573,-29.819992,-11.639999]|1689110348888
29|AK09918C|[-0.11999512,-29.819992,-11.519989]|1689110348908
29|AK09918C|[-0.11999512,-30.23999,-11.279999]|1689110348928
29|AK09918C|[-0.23999023,-29.819992,-11.219986]|1689110348948
29|AK09918C|[-0.23999023,-29.699997,-11.159988]|1689110348968
29|AK09918C|[-0.11999512,-29.759995,-11.099991]|1689110348988
29|AK09918C|[0.2999878,-29.579987,-11.639999]|1689110349008
29|AK09918C|[0.17999268,-29.87999,-11.7599945]|1689110349028
29|AK09918C|[0.0,-30.299988,-11.939987]|1689110349048
29|AK09918C|[0.47999573,-29.87999,-11.939987]|1689110349067
29|AK09918C|[0.17999268,-30.0,-11.579987]|1689110349087
29|AK09918C|[0.35998535,-29.939987,-11.519989]|1689110349108
29|AK09918C|[0.41999817,-29.939987,-11.519989]|1689110349128
29|AK09918C|[0.41999817,-30.119995,-11.7599945]|1689110349148
29|AK09918C|[0.2999878,-30.179993,-11.639999]|1689110349168
29|AK09918C|[0.05999756,-29.819992,-11.639999]|1689110349188
29|AK09918C|[-0.11999512,-29.519989,-11.339996]|1689110349208
29|AK09918C|[-0.5399933,-29.459991,-11.039993]|1689110349228
29|AK09918C|[-0.23999023,-28.859985,-10.919998]|1689110349248
29|AK09918C|[-0.17999268,-29.519989,-10.619995]|1689110349268
29|AK09918C|[0.17999268,-30.179993,-10.799988]|1689110349288
29|AK09918C|[0.59999084,-30.419998,-11.099991]|1689110349308
29|AK09918C|[0.59999084,-31.14,-11.399994]|1689110349328
29|AK09918C|[0.41999817,-30.899994,-11.7599945]|1689110349348
29|AK09918C|[-0.05999756,-30.419998,-11.579987]|1689110349368
29|AK09918C|[-0.35998535,-30.0,-11.339996]|1689110349388
29|AK09918C|[-0.8999939,-29.87999,-11.399994]|1689110349408
29|AK09918C|[-0.95999146,-29.699997,-11.459991]|1689110349427
29|AK09918C|[-0.59999084,-29.64,-11.87999]|1689110349447
29|AK09918C|[-0.5399933,-30.0,-12.059998]|1689110349468
29|AK09918C|[0.17999268,-29.64,-11.7599945]|1689110349488
29|AK09918C|[0.5399933,-29.759995,-11.87999]|1689110349508
29|AK09918C|[0.41999817,-29.519989,-11.639999]|1689110349528
29|AK09918C|[0.5399933,-29.399994,-11.7599945]|1689110349548
29|AK09918C|[0.35998535,-29.519989,-11.819992]|1689110349568
29|AK09918C|[0.35998535,-29.519989,-12.0]|1689110349588
29|AK09918C|[0.59999084,-29.939987,-12.479996]|1689110349608
29|AK09918C|[0.35998535,-29.699997,-12.059998]|1689110349628
29|AK09918C|[-0.05999756,-29.759995,-12.0]|1689110349648
29|AK09918C|[-0.35998535,-29.87999,-11.939987]|1689110349668
29|AK09918C|[-0.71998596,-29.939987,-12.059998]|1689110349688
29|AK09918C|[-0.41999817,-29.87999,-12.299988]|1689110349708
