statusId|x|y|z|timestamp
3|-5.6617136|-4.5585957|12.649923|1689192587522
3|-5.7910695|-4.539432|12.702623|1689192587524
3|-5.838979|-4.4867315|12.812816|1689192587527
3|-5.84377|-4.405285|12.923008|1689192587529
3|-5.7719054|-4.304675|13.037991|1689192587532
3|-5.6712956|-4.2184377|13.105064|1689192587534
3|-5.513194|-4.1513643|13.172137|1689192587537
3|-5.364674|-4.1130366|13.196093|1689192587539
3|-5.2161546|-4.098664|13.172137|1689192587541
3|-5.0915895|-4.089082|13.100273|1689192587545
3|-4.938279|-4.1178274|12.966126|1689192587547
3|-4.837669|-4.156155|12.808025|1689192587550
3|-4.7131042|-4.2423925|12.573268|1689192587552
3|-4.5837483|-4.3477936|12.242692|1689192587554
3|-4.449601|-4.4531946|11.88337|1689192587557
3|-4.286709|-4.601714|11.524049|1689192587559
3|-4.152562|-4.77898|11.145563|1689192587562
3|-4.0088334|-4.9802|10.752705|1689192587564
3|-3.8746865|-5.176629|10.374219|1689192587567
3|-3.7405398|-5.3682675|9.971778|1689192587569
3|-3.615975|-5.540742|9.593292|1689192587571
3|-3.5297377|-5.7036343|9.233971|1689192587575
3|-3.4530823|-5.847363|8.946513|1689192587577
3|-3.3668451|-5.9575553|8.716548|1689192587580
3|-3.2949808|-6.0485835|8.5680275|1689192587582
3|-3.251862|-6.101284|8.496163|1689192587584
3|-3.2422802|-6.1444025|8.467418|1689192587587
3|-3.2326982|-6.1444025|8.414718|1689192587589
3|-3.2183254|-6.1444025|8.400345|1689192587592
3|-3.1991615|-6.086911|8.400345|1689192587594
3|-3.1608338|-6.0390015|8.4290905|1689192587596
3|-3.1033425|-5.952764|8.476999|1689192587599
3|-3.036269|-5.8377814|8.524909|1689192587602
3|-2.9644046|-5.7132163|8.57761|1689192587605
3|-2.921286|-5.5838604|8.62552|1689192587607
3|-2.8542128|-5.420968|8.659056|1689192587609
3|-2.7775574|-5.2437024|8.67822|1689192587612
3|-2.6961112|-5.0664372|8.659056|1689192587614
3|-2.6386197|-4.9035444|8.615937|1689192587617
3|-2.5907102|-4.750234|8.563237|1689192587619
3|-2.5571733|-4.616087|8.496163|1689192587622
3|-2.5523825|-4.496313|8.3763895|1689192587624
3|-2.595501|-4.405285|8.266197|1689192587627
3|-2.6721563|-4.343003|8.112887|1689192587630
3|-2.7727664|-4.261556|7.97874|1689192587632
3|-2.8781674|-4.170528|7.863757|1689192587635
3|-3.0123143|-4.084291|7.767938|1689192587637
3|-3.1416702|-4.0076356|7.629|1689192587639
3|-3.256653|-3.9166074|7.5092263|1689192587642
3|-3.362054|-3.8159974|7.3654976|1689192587644
3|-3.4195457|-3.7249691|7.22656|1689192587647
3|-3.4195457|-3.6531048|7.1451135|1689192587649
3|-3.3955908|-3.5716586|7.087622|1689192587651
3|-3.3476813|-3.514167|7.0349216|1689192587654
3|-3.2901897|-3.4470937|7.0397124|1689192587657
3|-3.1943707|-3.3752294|7.030131|1689192587660
3|-3.1033425|-3.3081558|7.0157576|1689192587662
3|-3.0027323|-3.2554553|6.963057|1689192587665
3|-2.8637946|-3.2267096|6.8624473|1689192587667
3|-2.6817381|-3.2171278|6.747464|1689192587669
3|-2.4421904|-3.2075458|6.6372724|1689192587672
3|-2.1786878|-3.2171278|6.551035|1689192587674
3|-1.9008123|-3.2075458|6.512707|1689192587677
3|-1.6037729|-3.2171278|6.512707|1689192587679
3|-1.2923607|-3.2219186|6.5079165|1689192587681
3|-1.0001123|-3.2075458|6.4887524|1689192587685
3|-0.71744585|-3.2219186|6.4504247|1689192587687
3|-0.49227083|-3.2075458|6.3641877|1689192587690
3|-0.28146872|-3.2123368|6.2635775|1689192587692
3|-0.08503949|-3.2027547|6.115058|1689192587694
3|0.11138975|-3.2027547|5.952165|1689192587697
3|0.30302805|-3.188382|5.755736|1689192587699
3|0.4946663|-3.174009|5.5784707|1689192587702
3|0.65755886|-3.169218|5.420369|1689192587704
3|0.8012876|-3.1404724|5.295804|1689192587707
3|0.9114796|-3.1260996|5.214358|1689192587709
3|1.0025078|-3.1117265|5.089793|1689192587711
3|1.0695812|-3.087772|4.965228|1689192587715
3|1.1174908|-3.0494442|4.7831717|1689192587717
3|1.1414455|-3.0159075|4.5915337|1689192587720
3|1.1701913|-2.9823709|4.414268|1689192587722
3|1.2133099|-2.9105065|4.237003|1689192587724
3|1.203728|-2.8434331|4.098065|1689192587727
3|1.1654003|-2.7619867|4.0166187|1689192587729
3|1.1031178|-2.6517947|3.9878728|1689192587732
3|1.0072987|-2.5511847|3.9735|1689192587734
3|0.8827338|-2.4457836|3.9543362|1689192587736
3|0.7342142|-2.3355916|3.9543362|1689192587739
3|0.57611257|-2.2014449|3.9543362|1689192587741
3|0.38926527|-2.062507|3.9351723|1689192587745
3|0.17846315|-1.9044055|3.9207995|1689192587747
3|-0.041920874|-1.7415129|3.9160085|1689192587750
3|-0.28625968|-1.5929933|3.8872628|1689192587752
3|-0.54497135|-1.4205188|3.863308|1689192587755
3|-0.7988921|-1.2384624|3.868099|1689192587757
3|-1.03844|-1.0755699|3.868099|1689192587760
3|-1.2684059|-0.9030954|3.844144|1689192587762
3|-1.4887899|-0.74020284|3.8201895|1689192587765
3|-1.6948011|-0.57251936|3.7866528|1689192587767
3|-1.9103942|-0.39525396|3.8106074|1689192587770
3|-2.135569|-0.23236142|3.863308|1689192587772
3|-2.3367894|-0.08384175|3.9495451|1689192587775
3|-2.5188458|0.07425983|4.088483|1689192587777
